"store_code","datetime","staff_id","register_number","product_code","quantity","payment_method","customer_segment_code","customer_segment_name"
"AO-1","2025-12-30T01:50:25.015Z","7","4","15","6","1","1","ライフスタイル充実層"
"AO-1","2025-04-06T13:55:24.485Z","1","5","10","16","3","3","コスパ重視層"
"AO-1","2025-05-29T08:16:16.196Z","3","3","19","5","3","3","コスパ重視層"
"AO-1","2025-04-04T13:22:31.517Z","4","1","13","6","3","A5","ウェルネス志向層"
"AO-1","2025-05-18T19:11:07.267Z","9","5","10","8","3","1","ライフスタイル充実層"
"AO-1","2024-11-09T00:09:43.327Z","9","3","11","19","3","4","自己投資志向層"
"AO-1","2025-07-17T22:39:57.971Z","9","4","17","5","1","3","コスパ重視層"
"AO-1","2024-03-15T08:57:55.177Z","8","2","13","6","2","A5","ウェルネス志向層"
"AO-1","2024-10-23T04:58:02.567Z","10","5","11","1","2","1","ライフスタイル充実層"
"AO-1","2025-09-23T23:48:51.826Z","6","5","18","1","1","4","自己投資志向層"
"AO-1","2024-07-10T14:23:18.487Z","7","1","19","1","3","A5","ウェルネス志向層"
"AO-1","2024-05-30T13:44:32.007Z","4","2","17","13","2","3","コスパ重視層"
"AO-1","2025-05-31T21:39:48.408Z","7","5","12","8","1","2","ファミリーサポート層"
"AO-1","2025-11-09T16:56:52.762Z","8","2","15","1","3","A5","ウェルネス志向層"
"AO-1","2024-07-12T12:35:16.532Z","6","4","17","12","3","A5","ウェルネス志向層"
"AO-1","2024-01-07T23:12:56.502Z","8","3","14","3","2","3","コスパ重視層"
"AO-1","2024-06-25T02:21:53.759Z","3","2","13","3","1","2","ファミリーサポート層"
"AO-1","2024-11-04T08:04:29.766Z","5","1","14","7","3","2","ファミリーサポート層"
"AO-1","2024-06-28T06:46:35.465Z","2","5","16","9","2","A5","ウェルネス志向層"
"AO-1","2025-07-07T10:43:08.758Z","1","4","18","13","2","A5","ウェルネス志向層"
"AO-1","2024-12-12T13:57:31.528Z","3","1","14","20","2","1","ライフスタイル充実層"
"AO-1","2024-12-21T06:05:49.336Z","10","1","12","12","2","4","自己投資志向層"
"AO-1","2024-01-10T13:30:22.136Z","4","3","12","18","3","A5","ウェルネス志向層"
"AO-1","2024-10-08T06:24:23.728Z","1","4","19","5","2","4","自己投資志向層"
"AO-1","2025-07-17T13:59:16.337Z","3","2","10","17","3","1","ライフスタイル充実層"
"AO-1","2025-10-11T12:39:41.590Z","10","3","16","7","3","3","コスパ重視層"
"AO-1","2025-06-01T19:57:49.723Z","3","4","11","20","1","A5","ウェルネス志向層"
"AO-1","2025-02-08T21:51:43.136Z","6","5","16","6","2","4","自己投資志向層"
"AO-1","2024-02-20T04:28:33.622Z","5","1","16","11","2","1","ライフスタイル充実層"
"AO-1","2024-05-14T21:47:16.924Z","7","5","10","16","3","1","ライフスタイル充実層"
"AO-1","2024-05-02T12:59:37.701Z","2","3","19","14","1","A5","ウェルネス志向層"
"AO-1","2024-09-25T14:09:20.554Z","10","1","19","1","1","3","コスパ重視層"
"AO-1","2025-02-23T21:01:20.678Z","4","3","11","14","2","4","自己投資志向層"
"AO-1","2024-10-03T14:28:08.659Z","9","5","15","14","2","1","ライフスタイル充実層"
"AO-1","2024-07-05T23:11:18.055Z","3","3","11","19","3","1","ライフスタイル充実層"
"AO-1","2025-11-29T04:13:14.056Z","5","4","11","7","3","4","自己投資志向層"
"AO-1","2025-07-16T01:42:35.819Z","6","4","11","14","1","4","自己投資志向層"
"AO-1","2024-07-03T23:25:54.237Z","1","3","17","20","1","4","自己投資志向層"
"AO-1","2025-01-24T15:06:57.414Z","8","1","17","17","1","A5","ウェルネス志向層"
"AO-1","2024-11-06T09:28:28.417Z","8","3","11","6","1","1","ライフスタイル充実層"
"AO-1","2025-12-11T12:03:37.519Z","2","1","16","3","1","3","コスパ重視層"
"AO-1","2024-02-13T12:56:31.378Z","9","2","12","11","3","4","自己投資志向層"
"AO-1","2025-06-27T16:42:33.275Z","3","5","11","9","2","2","ファミリーサポート層"
"AO-1","2025-11-20T11:17:01.664Z","7","5","14","1","3","1","ライフスタイル充実層"
"AO-1","2025-10-03T22:52:24.386Z","9","5","17","20","2","1","ライフスタイル充実層"
"AO-1","2025-01-13T04:14:38.884Z","5","4","11","12","3","A5","ウェルネス志向層"
"AO-1","2024-08-27T05:21:17.805Z","4","4","17","11","1","1","ライフスタイル充実層"
"AO-1","2024-03-30T02:01:24.828Z","2","5","10","15","2","2","ファミリーサポート層"
"AO-1","2025-09-07T19:21:20.440Z","4","4","18","16","1","4","自己投資志向層"
"AO-1","2025-07-21T19:29:45.201Z","4","3","17","16","2","3","コスパ重視層"
"AO-1","2024-08-30T02:40:52.253Z","2","1","13","6","2","2","ファミリーサポート層"
"AO-1","2024-10-06T17:13:30.436Z","10","1","13","20","2","4","自己投資志向層"
"AO-1","2024-12-12T06:49:08.040Z","10","5","19","1","3","A5","ウェルネス志向層"
"AO-1","2024-05-16T23:23:45.409Z","8","3","11","6","3","2","ファミリーサポート層"
"AO-1","2024-04-02T01:13:04.341Z","2","3","11","10","3","3","コスパ重視層"
"AO-1","2025-07-05T08:03:35.008Z","9","5","18","4","1","2","ファミリーサポート層"
"AO-1","2024-06-12T22:07:50.530Z","7","2","11","10","2","2","ファミリーサポート層"
"AO-1","2024-06-30T07:01:44.237Z","7","5","12","4","3","4","自己投資志向層"
"AO-1","2024-09-13T08:41:50.370Z","4","2","15","14","2","A5","ウェルネス志向層"
"AO-1","2024-07-01T13:41:14.472Z","4","3","16","14","1","A5","ウェルネス志向層"
"AO-1","2024-09-13T17:08:13.898Z","10","5","14","15","1","1","ライフスタイル充実層"
"AO-1","2024-01-26T07:07:12.530Z","9","5","12","16","1","1","ライフスタイル充実層"
"AO-1","2025-12-11T21:50:45.828Z","8","2","16","10","2","A5","ウェルネス志向層"
"AO-1","2024-03-29T04:29:51.803Z","2","4","14","12","2","3","コスパ重視層"
"AO-1","2025-03-07T09:13:52.668Z","3","3","19","20","2","A5","ウェルネス志向層"
"AO-1","2025-12-03T16:49:11.441Z","2","5","13","18","3","3","コスパ重視層"
"AO-1","2024-11-13T01:04:42.917Z","9","5","14","5","3","A5","ウェルネス志向層"
"AO-1","2025-03-17T14:41:44.090Z","10","5","11","16","1","A5","ウェルネス志向層"
"AO-1","2024-07-07T19:16:49.221Z","9","3","19","14","3","A5","ウェルネス志向層"
"AO-1","2025-11-05T07:32:48.087Z","2","5","13","11","2","3","コスパ重視層"
"AO-1","2025-11-01T01:24:21.472Z","10","2","18","3","1","1","ライフスタイル充実層"
"AO-1","2024-06-02T00:17:00.590Z","8","4","18","20","3","2","ファミリーサポート層"
"AO-1","2025-12-28T22:51:19.551Z","6","1","18","17","1","1","ライフスタイル充実層"
"AO-1","2025-11-25T20:09:58.481Z","2","5","19","7","2","3","コスパ重視層"
"AO-1","2025-12-03T21:13:15.791Z","3","1","17","11","1","2","ファミリーサポート層"
"AO-1","2024-06-27T14:10:46.893Z","9","4","14","2","2","4","自己投資志向層"
"AO-1","2024-06-24T04:23:03.977Z","2","5","14","18","1","3","コスパ重視層"
"AO-1","2025-02-10T10:04:10.077Z","1","2","16","13","1","3","コスパ重視層"
"AO-1","2024-08-23T19:26:14.540Z","10","5","19","17","3","3","コスパ重視層"
"AO-1","2024-05-25T20:37:22.023Z","9","5","10","20","2","2","ファミリーサポート層"
"AO-1","2025-05-20T09:29:55.450Z","10","4","12","19","1","3","コスパ重視層"
"AO-1","2024-08-09T08:13:06.145Z","1","1","15","3","3","3","コスパ重視層"
"AO-1","2025-02-28T19:29:01.167Z","5","4","19","17","2","4","自己投資志向層"
"AO-1","2025-03-02T01:16:59.724Z","8","3","15","9","2","4","自己投資志向層"
"AO-1","2024-06-29T00:52:43.852Z","3","4","14","2","1","A5","ウェルネス志向層"
"AO-1","2024-04-06T12:58:34.464Z","3","3","15","10","1","2","ファミリーサポート層"
"AO-1","2025-07-27T16:21:31.480Z","2","2","16","11","2","4","自己投資志向層"
"AO-1","2024-12-27T04:30:46.004Z","3","3","18","20","3","4","自己投資志向層"
"AO-1","2025-07-26T02:45:50.177Z","6","1","13","8","1","1","ライフスタイル充実層"
"AO-1","2024-03-28T00:38:26.477Z","4","3","17","10","3","3","コスパ重視層"
"AO-1","2025-03-24T23:40:29.865Z","2","5","17","10","3","4","自己投資志向層"
"AO-1","2024-05-08T10:12:11.764Z","2","1","10","20","3","2","ファミリーサポート層"
"AO-1","2024-06-09T13:27:37.431Z","5","2","19","13","2","3","コスパ重視層"
"AO-1","2024-04-24T16:51:12.088Z","2","5","15","10","2","1","ライフスタイル充実層"
"AO-1","2025-11-02T11:03:20.248Z","4","1","15","20","1","1","ライフスタイル充実層"
"AO-1","2024-11-23T05:47:44.822Z","2","2","10","19","3","A5","ウェルネス志向層"
"AO-1","2025-02-26T05:05:49.580Z","5","1","15","6","2","4","自己投資志向層"
"AO-1","2024-05-10T10:01:20.971Z","4","4","11","3","2","2","ファミリーサポート層"
"AO-1","2025-10-24T04:11:28.248Z","4","1","11","10","1","3","コスパ重視層"
"AO-1","2025-05-21T13:01:53.922Z","8","3","12","19","2","2","ファミリーサポート層"
"AO-1","2024-02-08T20:04:08.621Z","2","1","16","8","2","1","ライフスタイル充実層"
"AO-1","2025-01-22T20:25:17.666Z","1","5","11","2","1","A5","ウェルネス志向層"
"AO-1","2024-02-06T00:05:33.735Z","6","3","15","4","2","2","ファミリーサポート層"
"AO-1","2024-10-22T15:54:21.877Z","1","4","19","3","3","1","ライフスタイル充実層"
"AO-1","2025-11-17T05:17:01.128Z","7","3","16","2","2","A5","ウェルネス志向層"
"AO-1","2024-10-23T06:59:21.267Z","9","5","13","8","3","3","コスパ重視層"
"AO-1","2025-02-09T10:54:55.610Z","6","5","19","10","2","2","ファミリーサポート層"
"AO-1","2024-02-10T18:02:16.399Z","8","1","18","6","3","3","コスパ重視層"
"AO-1","2025-07-04T07:54:31.639Z","6","5","17","1","2","A5","ウェルネス志向層"
"AO-1","2025-05-04T11:15:17.564Z","1","4","19","7","2","4","自己投資志向層"
"AO-1","2024-08-27T20:29:48.051Z","4","1","17","3","3","1","ライフスタイル充実層"
"AO-1","2025-11-18T05:12:25.540Z","2","3","14","15","2","A5","ウェルネス志向層"
"AO-1","2025-09-03T18:56:41.367Z","9","1","19","13","2","3","コスパ重視層"
"AO-1","2025-11-14T15:41:41.942Z","6","2","10","14","1","1","ライフスタイル充実層"
"AO-1","2024-01-23T02:21:22.866Z","1","4","12","14","1","A5","ウェルネス志向層"
"AO-1","2025-08-04T04:26:02.147Z","3","4","18","20","1","2","ファミリーサポート層"
"AO-1","2025-07-17T12:17:58.801Z","7","3","15","11","3","2","ファミリーサポート層"
"AO-1","2024-05-16T17:35:24.823Z","2","5","12","16","1","2","ファミリーサポート層"
"AO-1","2024-02-14T23:35:32.656Z","7","5","15","7","2","3","コスパ重視層"
"AO-1","2025-09-23T14:17:52.289Z","3","5","10","8","1","2","ファミリーサポート層"
"AO-1","2024-10-10T05:48:17.529Z","4","3","10","15","2","4","自己投資志向層"
"AO-1","2025-09-02T01:18:24.770Z","2","4","11","7","1","2","ファミリーサポート層"
"AO-1","2024-05-06T11:42:45.986Z","10","1","19","5","2","A5","ウェルネス志向層"
"AO-1","2024-04-09T07:10:29.904Z","3","2","19","2","3","1","ライフスタイル充実層"
"AO-1","2024-03-30T15:18:50.646Z","8","5","11","3","1","4","自己投資志向層"
"AO-1","2025-09-14T07:17:07.503Z","9","4","18","8","2","1","ライフスタイル充実層"
"AO-1","2025-04-21T19:03:55.029Z","2","5","11","13","3","A5","ウェルネス志向層"
"AO-1","2025-11-06T19:56:06.102Z","10","2","15","5","1","2","ファミリーサポート層"
"AO-1","2025-06-12T18:39:43.940Z","9","3","16","10","3","3","コスパ重視層"
"AO-1","2025-11-15T16:57:24.347Z","9","4","12","20","3","1","ライフスタイル充実層"
"AO-1","2025-07-28T06:08:18.515Z","2","1","13","4","3","1","ライフスタイル充実層"
"AO-1","2024-10-13T03:03:20.592Z","7","2","14","1","2","1","ライフスタイル充実層"
"AO-1","2025-04-25T05:57:25.174Z","10","4","16","2","1","4","自己投資志向層"
"AO-1","2025-06-26T07:31:22.578Z","3","2","18","6","3","3","コスパ重視層"
"AO-1","2025-11-02T15:06:53.550Z","3","5","11","16","2","4","自己投資志向層"
"AO-1","2025-04-09T00:48:27.354Z","9","4","17","3","3","2","ファミリーサポート層"
"AO-1","2025-08-20T12:21:29.474Z","9","5","17","14","1","4","自己投資志向層"
"AO-1","2024-02-23T02:35:43.464Z","7","1","14","13","2","4","自己投資志向層"
"AO-1","2024-08-27T15:34:04.142Z","7","2","13","3","1","2","ファミリーサポート層"
"AO-1","2025-03-15T09:41:15.130Z","2","2","14","13","2","A5","ウェルネス志向層"
"AO-1","2024-09-21T07:11:16.948Z","9","1","10","1","3","3","コスパ重視層"
"AO-1","2025-12-16T03:55:36.791Z","1","5","11","13","3","3","コスパ重視層"
"AO-1","2025-10-24T17:20:01.376Z","9","5","19","7","3","4","自己投資志向層"
"AO-1","2024-05-30T21:03:20.324Z","7","2","18","15","3","2","ファミリーサポート層"
"AO-1","2025-03-30T20:40:45.623Z","6","2","11","11","3","A5","ウェルネス志向層"
"AO-1","2025-03-22T01:10:04.859Z","8","1","16","15","3","3","コスパ重視層"
"AO-1","2025-04-16T08:47:21.455Z","6","4","13","11","3","4","自己投資志向層"
"AO-1","2024-07-16T03:25:38.235Z","1","5","15","4","2","2","ファミリーサポート層"
"AO-1","2024-07-17T20:47:53.005Z","4","4","15","1","3","3","コスパ重視層"
"AO-1","2025-06-19T01:02:15.663Z","1","3","12","19","2","1","ライフスタイル充実層"
"AO-1","2024-03-09T10:10:59.360Z","7","4","10","18","1","4","自己投資志向層"
"AO-1","2024-06-06T03:12:07.273Z","6","4","16","11","3","2","ファミリーサポート層"
"AO-1","2024-01-08T23:54:30.837Z","6","5","14","2","1","4","自己投資志向層"
"AO-1","2025-12-16T23:53:15.344Z","7","2","10","12","3","1","ライフスタイル充実層"
"AO-1","2024-04-03T13:19:38.701Z","6","5","13","15","1","1","ライフスタイル充実層"
"AO-1","2025-12-17T03:39:50.289Z","1","2","15","14","3","1","ライフスタイル充実層"
"AO-1","2025-01-22T08:35:31.817Z","8","4","13","11","3","4","自己投資志向層"
"AO-1","2024-04-22T19:10:49.809Z","10","3","15","7","3","1","ライフスタイル充実層"
"AO-1","2025-04-09T10:30:36.988Z","1","4","18","9","1","2","ファミリーサポート層"
"AO-1","2025-03-09T09:54:11.551Z","3","4","13","18","2","2","ファミリーサポート層"
"AO-1","2025-04-05T20:55:08.598Z","6","1","15","1","1","3","コスパ重視層"
"AO-1","2024-09-26T22:08:35.140Z","4","2","10","5","3","A5","ウェルネス志向層"
"AO-1","2024-04-17T19:11:41.237Z","2","3","13","17","3","2","ファミリーサポート層"
"AO-1","2024-03-08T23:57:09.518Z","4","5","13","4","3","1","ライフスタイル充実層"
"AO-1","2025-09-13T05:34:03.860Z","9","5","10","7","1","3","コスパ重視層"
"AO-1","2024-12-31T16:12:58.691Z","1","5","10","7","1","A5","ウェルネス志向層"
"AO-1","2025-04-21T14:33:03.612Z","8","1","14","10","3","1","ライフスタイル充実層"
"AO-1","2024-03-06T17:28:06.457Z","2","2","11","3","2","4","自己投資志向層"
"AO-1","2025-06-14T03:40:39.420Z","6","2","10","15","1","1","ライフスタイル充実層"
"AO-1","2024-04-12T18:43:00.752Z","1","1","10","3","3","1","ライフスタイル充実層"
"AO-1","2024-05-23T21:04:59.187Z","5","5","15","16","3","4","自己投資志向層"
"AO-1","2024-07-29T14:21:04.196Z","2","5","14","5","1","1","ライフスタイル充実層"
"AO-1","2024-03-27T23:40:36.688Z","10","2","14","9","3","A5","ウェルネス志向層"
"AO-1","2024-12-13T02:12:45.237Z","8","5","13","6","1","3","コスパ重視層"
"AO-1","2025-02-09T09:30:49.127Z","5","2","11","15","1","A5","ウェルネス志向層"
"AO-1","2024-05-25T11:18:59.041Z","8","4","14","18","2","2","ファミリーサポート層"
"AO-1","2025-10-02T02:55:59.060Z","7","2","15","12","1","3","コスパ重視層"
"AO-1","2024-06-04T09:38:29.473Z","1","3","13","7","1","4","自己投資志向層"
"AO-1","2025-12-18T03:14:59.272Z","5","3","19","6","1","3","コスパ重視層"
"AO-1","2024-03-28T18:37:40.257Z","10","1","12","12","1","3","コスパ重視層"
"AO-1","2024-04-19T01:50:43.602Z","4","5","14","5","3","3","コスパ重視層"
"AO-1","2024-09-19T17:53:26.598Z","8","3","13","4","2","2","ファミリーサポート層"
"AO-1","2024-04-20T05:14:59.978Z","5","5","13","17","2","A5","ウェルネス志向層"
"AO-1","2024-02-08T10:19:12.196Z","3","1","18","5","1","4","自己投資志向層"
"AO-1","2025-09-09T04:11:33.341Z","4","1","17","18","3","A5","ウェルネス志向層"
"AO-1","2024-02-06T09:18:58.956Z","2","5","13","10","1","1","ライフスタイル充実層"
"AO-1","2024-11-19T12:10:44.480Z","8","2","12","8","1","2","ファミリーサポート層"
"AO-1","2024-10-25T04:43:59.200Z","4","5","15","16","1","2","ファミリーサポート層"
"AO-1","2025-08-22T02:18:22.164Z","10","4","11","20","1","3","コスパ重視層"
"AO-1","2024-05-26T07:27:52.506Z","1","4","12","20","3","1","ライフスタイル充実層"
"AO-1","2025-07-25T23:52:16.792Z","3","5","15","19","1","2","ファミリーサポート層"
"AO-1","2025-07-04T13:04:14.047Z","4","1","19","10","2","3","コスパ重視層"
"AO-1","2025-09-12T01:44:36.010Z","10","4","14","9","3","4","自己投資志向層"
"AO-1","2024-12-08T15:16:31.701Z","3","1","19","9","2","3","コスパ重視層"
"AO-1","2025-02-27T13:05:22.432Z","2","3","10","9","2","A5","ウェルネス志向層"
"AO-1","2025-03-23T01:38:29.069Z","9","1","15","8","3","1","ライフスタイル充実層"
"AO-1","2024-04-27T16:57:03.900Z","6","2","12","10","1","3","コスパ重視層"
"AO-1","2024-01-25T11:47:12.040Z","3","1","12","8","2","2","ファミリーサポート層"
"AO-1","2024-06-30T11:04:26.204Z","3","1","14","20","2","1","ライフスタイル充実層"
"AO-1","2025-07-04T02:30:34.476Z","2","1","18","2","3","1","ライフスタイル充実層"
"AO-1","2024-12-08T11:32:18.041Z","2","2","17","16","2","3","コスパ重視層"
"AO-1","2024-08-29T03:06:00.718Z","10","5","11","10","2","2","ファミリーサポート層"
"AO-1","2025-04-14T03:49:49.889Z","4","4","14","9","1","4","自己投資志向層"
"AO-1","2024-08-09T07:55:44.967Z","4","5","19","10","2","1","ライフスタイル充実層"
"AO-1","2025-11-25T01:49:50.043Z","6","3","10","17","1","4","自己投資志向層"
"AO-1","2024-03-06T15:17:51.606Z","9","3","10","14","3","3","コスパ重視層"
"AO-1","2024-04-20T19:12:01.329Z","1","5","15","13","2","2","ファミリーサポート層"
"AO-1","2024-01-18T21:29:24.434Z","9","5","14","8","3","1","ライフスタイル充実層"
"AO-1","2024-02-13T12:42:15.141Z","1","1","14","3","1","A5","ウェルネス志向層"
"AO-1","2024-05-01T23:33:32.883Z","10","1","17","1","3","3","コスパ重視層"
"AO-1","2025-04-06T01:30:07.660Z","2","3","17","7","3","1","ライフスタイル充実層"
"AO-1","2024-11-07T12:54:47.097Z","3","4","13","17","1","A5","ウェルネス志向層"
"AO-1","2025-10-14T17:16:45.224Z","6","3","12","15","3","A5","ウェルネス志向層"
"AO-1","2024-10-24T05:10:09.968Z","7","5","16","13","1","4","自己投資志向層"
"AO-1","2024-05-17T02:22:12.870Z","10","5","18","12","2","4","自己投資志向層"
"AO-1","2025-06-27T18:45:51.230Z","5","4","17","13","1","A5","ウェルネス志向層"
"AO-1","2024-07-13T06:42:27.950Z","2","2","16","7","1","3","コスパ重視層"
"AO-1","2024-11-27T05:20:33.660Z","3","2","18","17","3","A5","ウェルネス志向層"
"AO-1","2025-07-25T12:36:13.877Z","2","3","18","7","3","4","自己投資志向層"
"AO-1","2024-07-07T13:20:01.286Z","2","2","15","4","2","2","ファミリーサポート層"
"AO-1","2024-12-05T18:58:03.387Z","9","5","19","4","3","4","自己投資志向層"
"AO-1","2024-02-09T22:17:25.992Z","8","4","14","1","3","1","ライフスタイル充実層"
"AO-1","2024-12-31T19:00:04.380Z","2","5","14","9","3","4","自己投資志向層"
"AO-1","2024-08-30T17:00:24.538Z","6","4","17","19","2","A5","ウェルネス志向層"
"AO-1","2025-03-04T05:16:54.197Z","10","2","13","12","3","3","コスパ重視層"
"AO-1","2024-12-13T00:00:35.011Z","3","1","14","5","1","1","ライフスタイル充実層"
"AO-1","2024-09-22T00:33:30.868Z","3","1","14","15","3","3","コスパ重視層"
"AO-1","2024-03-18T16:31:55.020Z","9","1","10","1","2","A5","ウェルネス志向層"
"AO-1","2025-03-02T02:34:00.357Z","10","4","18","14","2","2","ファミリーサポート層"
"AO-1","2024-08-09T20:30:51.968Z","9","4","12","3","2","A5","ウェルネス志向層"
"AO-1","2025-07-24T12:22:52.556Z","7","4","12","17","1","3","コスパ重視層"
"AO-1","2024-03-31T14:36:00.413Z","2","3","10","1","1","3","コスパ重視層"
"AO-1","2025-03-16T08:36:34.123Z","9","5","19","3","2","2","ファミリーサポート層"
"AO-1","2025-02-18T02:31:20.364Z","7","4","19","17","2","4","自己投資志向層"
"AO-1","2025-02-09T04:27:47.912Z","9","5","10","20","2","1","ライフスタイル充実層"
"AO-1","2025-01-05T13:08:39.093Z","6","5","10","3","1","A5","ウェルネス志向層"
"AO-1","2024-10-20T13:08:17.675Z","3","4","10","8","1","2","ファミリーサポート層"
"AO-1","2024-08-04T19:45:04.787Z","8","3","16","4","3","4","自己投資志向層"
"AO-1","2025-02-13T15:35:54.864Z","3","1","14","6","2","A5","ウェルネス志向層"
"AO-1","2024-07-06T22:03:14.947Z","9","4","12","3","1","4","自己投資志向層"
"AO-1","2024-06-08T07:16:18.206Z","6","3","19","17","3","A5","ウェルネス志向層"
"AO-1","2024-09-21T15:11:36.767Z","10","5","12","10","1","A5","ウェルネス志向層"
"AO-1","2025-02-19T10:23:37.048Z","4","5","16","4","2","4","自己投資志向層"
"AO-1","2025-07-12T16:36:28.445Z","2","5","14","16","2","4","自己投資志向層"
"AO-1","2025-03-16T21:23:15.296Z","10","2","11","12","3","2","ファミリーサポート層"
"AO-1","2024-05-19T18:18:08.006Z","6","1","12","16","2","A5","ウェルネス志向層"
"AO-1","2024-12-06T00:26:38.104Z","2","3","17","13","3","A5","ウェルネス志向層"
"AO-1","2024-08-21T17:37:44.732Z","7","3","19","2","3","1","ライフスタイル充実層"
"AO-1","2025-09-17T08:35:43.778Z","10","2","15","16","1","1","ライフスタイル充実層"
"AO-1","2025-08-27T04:27:08.531Z","9","5","14","18","2","A5","ウェルネス志向層"
"AO-1","2025-10-22T04:38:31.406Z","4","5","16","3","3","1","ライフスタイル充実層"
"AO-1","2025-07-22T08:26:11.395Z","1","2","13","17","1","4","自己投資志向層"
"AO-1","2024-01-22T09:16:13.228Z","10","1","17","10","3","3","コスパ重視層"
"AO-1","2025-07-03T18:30:46.379Z","3","3","12","11","3","A5","ウェルネス志向層"
"AO-1","2024-06-02T06:57:19.911Z","3","1","16","5","1","A5","ウェルネス志向層"
"AO-1","2025-01-09T11:39:41.237Z","1","4","15","13","1","A5","ウェルネス志向層"
"AO-1","2024-03-24T21:05:27.763Z","9","5","19","9","1","1","ライフスタイル充実層"
"AO-1","2025-04-07T13:33:03.122Z","10","4","10","14","2","A5","ウェルネス志向層"
"AO-1","2025-04-06T10:04:20.667Z","8","2","11","13","3","A5","ウェルネス志向層"
"AO-1","2024-03-10T18:01:50.458Z","1","3","12","2","2","4","自己投資志向層"
"AO-1","2024-08-31T08:51:02.234Z","6","5","16","13","2","A5","ウェルネス志向層"
"AO-1","2024-08-04T22:21:19.775Z","6","2","16","17","2","1","ライフスタイル充実層"
"AO-1","2024-10-22T19:46:20.866Z","8","3","18","20","3","1","ライフスタイル充実層"
"AO-1","2024-08-11T00:01:31.956Z","5","4","16","17","2","A5","ウェルネス志向層"
"AO-1","2024-08-08T15:37:43.455Z","2","4","14","20","2","A5","ウェルネス志向層"
"AO-1","2024-03-01T09:21:16.840Z","6","3","11","11","1","4","自己投資志向層"
"AO-1","2025-05-16T14:01:57.564Z","3","5","10","17","1","2","ファミリーサポート層"
"AO-1","2024-02-17T17:22:36.032Z","9","4","17","8","2","4","自己投資志向層"
"AO-1","2024-02-06T03:33:48.543Z","5","3","16","17","1","1","ライフスタイル充実層"
"AO-1","2025-06-18T01:38:39.567Z","5","2","14","14","3","4","自己投資志向層"
